% Model:              20230330_4_ideal_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 14 2026, 18:30
% Table:              Table 5 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.498962290000000E14                              1.364364462820629E0-8.254334485432623E-3i         0.000000000000000E0                               3.106281602075433E-10                             -2.521581373790330E-5+1.443458708385360E-5i
1.498962290000000E14                              1.365442339121809E0-9.112064297756947E-3i         0.000000000000000E0                               2.136015480401741E-10                             1.705929775057191E-6-6.469518283276630E-5i
1.498962290000000E14                              1.366538875606467E0-8.312256558048329E-3i         0.000000000000000E0                               2.317121840363442E-10                             3.806760883531444E-5-5.600468483190829E-5i
1.498962290000000E14                              1.367813776596289E0-7.664404022228210E-3i         0.000000000000000E0                               2.768546916806865E-10                             8.185246037510495E-6-1.610082706063977E-5i
1.498962290000000E14                              1.368305627438995E0-1.120039667860761E-7i         1.000000000000000E0                               5.289082218853128E-12                             7.865516986613024E-1+1.857534982078489E-3i
1.521446724350000E14                              1.367255512663435E0-8.579612314352997E-3i         0.000000000000000E0                               3.324414110564913E-10                             -9.465377589414862E-6-1.339300347089592E-6i
1.521446724350000E14                              1.368571305167751E0-8.315307850660400E-3i         0.000000000000000E0                               2.163945540610317E-10                             1.274604198772263E-5-3.938210541241491E-5i
1.521446724350000E14                              1.369662149772587E0-8.221346364091020E-3i         0.000000000000000E0                               2.595866000126712E-10                             1.797633604045243E-5-2.354333314725026E-6i
1.521446724350000E14                              1.369754298148465E0-6.875412864038099E-8i         1.000000000000000E0                               5.001976032485164E-12                             7.976599900791046E-1+1.393101228134623E-3i
1.521446724350000E14                              1.370665883128875E0-7.545085237805433E-3i         0.000000000000000E0                               2.837453749925976E-10                             5.981918090310495E-6-2.613952432060810E-6i
1.543931158700000E14                              1.369503746942484E0-7.772114832935997E-3i         0.000000000000000E0                               3.147880601311919E-10                             -1.261891956713713E-5-1.372350650509402E-5i
1.543931158700000E14                              1.370685638956134E0-8.217513620338030E-3i         0.000000000000000E0                               2.036846104709439E-10                             2.082190348945003E-5-2.184347704405016E-5i
1.543931158700000E14                              1.371183125781404E0-4.526054996356719E-8i         1.000000000000000E0                               4.745657491109954E-12                             8.080895912240870E-1+1.151856550081801E-3i
1.543931158700000E14                              1.371752076540055E0-7.827509257356566E-3i         0.000000000000000E0                               2.412766401715804E-10                             3.016197381257709E-5-1.297594239084618E-5i
1.543931158700000E14                              1.372962043403921E0-7.141377939993072E-3i         0.000000000000000E0                               2.769052708540002E-10                             5.018551662834764E-6-3.599471457816556E-6i
1.566415593050000E14                              1.372517555455926E0-7.954893884133797E-3i         0.000000000000000E0                               3.206469449780516E-10                             -6.483545122226747E-7-2.286205130629712E-6i
1.566415593050000E14                              1.372591660244698E0-2.769815185072093E-8i         1.000000000000000E0                               4.515911257748341E-12                             8.182167248082142E-1+9.095334500924519E-4i
1.566415593050000E14                              1.373090996940566E0-7.807494006475998E-3i         0.000000000000000E0                               1.999458232510308E-10                             1.270124294386444E-5-1.366915419839304E-5i
1.566415593050000E14                              1.374370282400957E0-7.496957402244856E-3i         0.000000000000000E0                               2.325761437283827E-10                             7.817048731386524E-6+4.592260476098942E-8i
1.566415593050000E14                              1.375517373191011E0-6.985254674283811E-3i         0.000000000000000E0                               2.903235329398032E-10                             1.182367758133088E-6-7.189674446042558E-7i
1.588900027400000E14                              1.367944189038274E0-6.226248563207052E-3i         0.000000000000000E0                               1.984002054223902E-10                             -1.058248627654197E-5-4.656115114069063E-6i
1.588900027400000E14                              1.373978913626810E0-1.816577673795676E-8i         1.000000000000000E0                               4.309317565704664E-12                             8.274735068207504E-1+7.343822177128946E-4i
1.588900027400000E14                              1.374383899345091E0-7.245012707646402E-3i         0.000000000000000E0                               3.024020100772746E-10                             -2.723955908710419E-6-6.818046619270932E-6i
1.588900027400000E14                              1.374928214732303E0-7.821341240409844E-3i         0.000000000000000E0                               1.990997829753998E-10                             1.176303011580279E-5-7.498108070369048E-6i
1.588900027400000E14                              1.376485511834873E0-7.343566344596026E-3i         0.000000000000000E0                               2.285828109342851E-10                             1.261864357656499E-5+1.703353341931631E-6i
1.611384461750000E14                              1.368880916544286E0-5.614709164525971E-3i         0.000000000000000E0                               1.785665575614585E-10                             -7.514663035695181E-6-1.650074251574808E-5i
1.611384461750000E14                              1.370548560194599E0-6.070240770459261E-3i         0.000000000000000E0                               1.897221683424982E-10                             -1.027261652051002E-5+6.338186046012075E-6i
1.611384461750000E14                              1.375344570868990E0-1.152863668803954E-8i         1.000000000000000E0                               4.122867224198734E-12                             8.363950644275127E-1+5.699916693005159E-4i
1.611384461750000E14                              1.376674607797562E0-7.102555664008434E-3i         0.000000000000000E0                               3.106746623337639E-10                             4.953161284351293E-7-3.422695773616958E-6i
1.611384461750000E14                              1.377130270595437E0-7.434341377812195E-3i         0.000000000000000E0                               2.045727757698797E-10                             9.878173459573185E-6-2.845814684031437E-6i
1.633868896100000E14                              1.371093466612274E0-5.411856700169065E-3i         0.000000000000000E0                               1.751733173310413E-10                             -3.964419146894838E-6-4.384577453960358E-6i
1.633868896100000E14                              1.372671232013148E0-6.061239664731700E-3i         0.000000000000000E0                               2.008337867761680E-10                             -5.399702318537074E-6-4.092988637721698E-6i
1.633868896100000E14                              1.375549531339193E0-7.488203982411546E-3i         0.000000000000000E0                               3.798316195772384E-10                             1.668280467711510E-6-1.434599453774285E-5i
1.633868896100000E14                              1.376688597931304E0-7.162333341902014E-9i         1.000000000000000E0                               3.954059148798298E-12                             8.444052805646751E-1+4.768724320247515E-4i
1.633868896100000E14                              1.378997237301613E0-6.955947163263242E-3i         0.000000000000000E0                               3.118930507158778E-10                             5.644493553311635E-7-3.635328729294576E-6i
1.656353330450000E14                              1.373491812956998E0-6.562931745547150E-3i         0.000000000000000E0                               2.717951880671311E-10                             1.236380779683770E-5-1.370923025948020E-5i
1.656353330450000E14                              1.373641818680956E0-5.190002117830836E-3i         0.000000000000000E0                               1.722894595885846E-10                             -2.447347035858702E-6-1.019068735810186E-5i
1.656353330450000E14                              1.375042116813017E0-5.852339241492126E-3i         0.000000000000000E0                               1.964654703431838E-10                             -7.014106217882104E-6-1.192539028910853E-6i
1.656353330450000E14                              1.378010495800571E0-4.494899434464334E-9i         1.000000000000000E0                               3.800738522787711E-12                             8.521479589819845E-1+3.595454079764824E-4i
1.656353330450000E14                              1.378060468555649E0-7.247903882715987E-3i         0.000000000000000E0                               3.804025199759272E-10                             1.093989113423402E-5-3.887829324296947E-6i
1.678837764800000E14                              1.375589838829332E0-5.092847324668300E-3i         0.000000000000000E0                               1.781012841038322E-10                             2.985548350999503E-6-7.762878092982611E-6i
1.678837764800000E14                              1.375639161325135E0-6.430079408200116E-3i         0.000000000000000E0                               2.711002827795124E-10                             6.474131348424979E-6-7.870064490751078E-6i
1.678837764800000E14                              1.377126372148031E0-5.874282645630463E-3i         0.000000000000000E0                               2.121812332883035E-10                             -4.407264276766940E-6-2.232858094719921E-6i
1.678837764800000E14                              1.379310244866162E0-2.855200562821696E-9i         1.000000000000000E0                               3.661010642104250E-12                             8.596725396391769E-1+2.991891940329237E-4i
1.678837764800000E14                              1.380176743479207E0-6.726500841925110E-3i         0.000000000000000E0                               3.956355355865982E-10                             6.321493020379502E-6-2.359086953764606E-6i
1.701322199150000E14                              1.376009986192393E0-5.925037696238257E-3i         0.000000000000000E0                               1.828650254314061E-10                             5.904143433079666E-6-3.540737347951496E-6i
1.701322199150000E14                              1.377575088655702E0-4.883378686764872E-3i         0.000000000000000E0                               1.667756769820835E-10                             4.336411557402847E-7-3.287656603694665E-6i
1.701322199150000E14                              1.377861501888098E0-6.155301374221558E-3i         0.000000000000000E0                               2.724813015801806E-10                             5.039958874951380E-6-2.939189809554493E-6i
1.701322199150000E14                              1.379165145438885E0-5.753970080852512E-3i         0.000000000000000E0                               2.018797043538398E-10                             -2.407643155319160E-6+1.896740526263585E-6i
1.701322199150000E14                              1.380587595373818E0-1.788554275753529E-9i         1.000000000000000E0                               3.533386198106994E-12                             8.665798701599619E-1+2.498118284799844E-4i
1.723806633500000E14                              1.378183103601699E0-5.911945264457775E-3i         0.000000000000000E0                               1.840045944356377E-10                             3.808267378901536E-6-1.047164797300855E-6i
1.723806633500000E14                              1.379611684417566E0-4.821703993418581E-3i         0.000000000000000E0                               1.760088721525326E-10                             1.556084541149217E-9-3.851531760814348E-7i
1.723806633500000E14                              1.379768099533584E0-5.985193018666741E-3i         0.000000000000000E0                               2.853523697674292E-10                             2.697461758924500E-6-6.685918541864751E-7i
1.723806633500000E14                              1.380975044239252E0-5.537793543845222E-3i         0.000000000000000E0                               2.080106031799815E-10                             -1.240167593166567E-6+3.733276720793767E-7i
1.723806633500000E14                              1.381842367132144E0-1.121212302901884E-9i         1.000000000000000E0                               3.416511305940034E-12                             8.728701777346779E-1+2.035590033771620E-4i
1.746291067850000E14                              1.380397517738648E0-5.722050177212415E-3i         0.000000000000000E0                               2.017570729490959E-10                             1.882875377481250E-6+8.143480533613708E-8i
1.746291067850000E14                              1.381717926106163E0-4.744340560499021E-3i         0.000000000000000E0                               1.900238193385002E-10                             1.354440674687560E-6-2.556320086893155E-6i
1.746291067850000E14                              1.381739762669360E0-5.724282258819457E-3i         0.000000000000000E0                               2.748580017469426E-10                             2.318619443805076E-6-8.146102155958303E-7i
1.746291067850000E14                              1.383000163506300E0-5.297899166960012E-3i         0.000000000000000E0                               2.141424482095702E-10                             -1.623551314814590E-6-1.377510859823372E-6i
1.746291067850000E14                              1.383074719546942E0-7.207672261445655E-10i        1.000000000000000E0                               3.309141226822993E-12                             8.791738200269822E-1+1.630689021842436E-4i
1.768775502200000E14                              1.382204907450936E0-5.600501548537989E-3i         0.000000000000000E0                               1.936500476926610E-10                             1.254838958503858E-6-5.270665716424632E-7i
1.768775502200000E14                              1.383493456248022E0-4.506473442566437E-3i         0.000000000000000E0                               1.675987749113581E-10                             1.018573589799886E-6-1.375131645474126E-6i
1.768775502200000E14                              1.383692475619789E0-5.651840110593037E-3i         0.000000000000000E0                               2.523738504402772E-10                             1.890479524370573E-6-3.002000118385814E-7i
1.768775502200000E14                              1.384284352229358E0-4.565537803237424E-10i        1.000000000000000E0                               3.210337288025605E-12                             8.851485259816367E-1+1.284473828402616E-4i
1.768775502200000E14                              1.384872306228924E0-5.210043306789372E-3i         0.000000000000000E0                               1.986363563890031E-10                             -1.645026810176363E-6-2.697067043281827E-7i
1.791259936550000E14                              1.383925371657906E0-5.376750006145101E-3i         0.000000000000000E0                               1.816621244000827E-10                             1.312733101093342E-6+8.240529856752507E-8i
1.791259936550000E14                              1.385254373221559E0-5.450610473253055E-3i         0.000000000000000E0                               2.619041478254178E-10                             1.197155222637178E-6-2.079067208997389E-7i
1.791259936550000E14                              1.385292803150133E0-4.456817295967542E-3i         0.000000000000000E0                               1.793088093165324E-10                             1.170650408793229E-7-2.705488758114364E-7i
1.791259936550000E14                              1.385471893013052E0-2.850124854726018E-10i        1.000000000000000E0                               3.119175285756707E-12                             8.902934549875334E-1+1.109633611515640E-4i
1.791259936550000E14                              1.386420453136460E0-5.017613982737705E-3i         0.000000000000000E0                               2.006763680145314E-10                             -3.536066001302529E-7-3.070240654724985E-7i
1.813744370900000E14                              1.382589880956770E0-4.399409980684729E-3i         0.000000000000000E0                               3.205235528556439E-10                             5.033690141157681E-7-1.698553197017249E-6i
