% Model:              PCF_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Oct 15 2025, 02:46
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      overlap
1.498962290000000E14                              1.404812972679131E0-2.779804619475324E-3i         0.000000000000000E0                               2.872726837418706E-2-1.692068707250896E-2i
1.498962290000000E14                              1.405054496993430E0-2.683558980788766E-3i         0.000000000000000E0                               1.646552433362462E-1-2.652871739956083E-1i
1.498962290000000E14                              1.409506767227493E0-1.566266941539049E-3i         0.000000000000000E0                               -6.654226475061463E-6-8.953709626177871E-4i
1.498962290000000E14                              1.409521061905932E0-1.541081937374099E-3i         0.000000000000000E0                               -3.026546881669192E-4-3.552187190926229E-5i
1.498962290000000E14                              1.414226297639580E0-3.934553174683775E-4i         1.000000000000000E0                               5.661855190826156E-1+8.304823987829851E-2i
1.521446724350000E14                              1.405659869781438E0-2.667969280474108E-3i         0.000000000000000E0                               1.741375590763623E-2-1.682606063868211E-2i
1.521446724350000E14                              1.405954199994238E0-2.573446084010060E-3i         0.000000000000000E0                               1.614502571563810E-1-2.845965072975272E-1i
1.521446724350000E14                              1.410222099513758E0-1.495217366696413E-3i         0.000000000000000E0                               -3.119955590911092E-6-7.922865013705381E-4i
1.521446724350000E14                              1.410239757835935E0-1.476554028317852E-3i         0.000000000000000E0                               -1.833084108376960E-4-1.952158791241856E-4i
1.521446724350000E14                              1.414852709801618E0-3.691675840533115E-4i         1.000000000000000E0                               5.727368409163388E-1+8.259796817122860E-2i
1.543931158700000E14                              1.406476958337971E0-2.585749281610398E-3i         0.000000000000000E0                               8.895071724028293E-3-1.525649857509336E-2i
1.543931158700000E14                              1.406850549538786E0-2.481716773907828E-3i         0.000000000000000E0                               1.506460348428864E-1-2.917627703230777E-1i
1.543931158700000E14                              1.410903911612916E0-1.434100163401042E-3i         0.000000000000000E0                               -1.188861614471676E-4-1.958019131683203E-4i
1.543931158700000E14                              1.410934759694615E0-1.415570726853132E-3i         0.000000000000000E0                               9.493247451672007E-5-1.596911984970077E-4i
1.543931158700000E14                              1.415460185882841E0-3.459397068393942E-4i         1.000000000000000E0                               5.795551184293200E-1+8.075615606318211E-2i
1.566415593050000E14                              1.407264322104969E0-2.477776339214671E-3i         0.000000000000000E0                               7.478258869360080E-3-1.633855942421351E-2i
1.566415593050000E14                              1.407683608012771E0-2.378973958304260E-3i         0.000000000000000E0                               1.359585753052567E-1-3.084900768833266E-1i
1.566415593050000E14                              1.411575436960189E0-1.369079578329386E-3i         0.000000000000000E0                               8.418347228599305E-5-1.676023008562495E-4i
1.566415593050000E14                              1.411608421597300E0-1.355113974496162E-3i         0.000000000000000E0                               1.826030177261122E-4-1.019608088431614E-4i
1.566415593050000E14                              1.416049612066110E0-3.246588507261430E-4i         1.000000000000000E0                               5.861766541087730E-1+8.008610805600198E-2i
1.588900027400000E14                              1.408000839824235E0-2.240217043743776E-3i         0.000000000000000E0                               -1.271371705134214E-1-3.953810580516149E-3i
1.588900027400000E14                              1.408492710786100E0-2.276835581991563E-3i         0.000000000000000E0                               1.331048531483682E-1-3.160549092460164E-1i
1.588900027400000E14                              1.412223900857020E0-1.310069922818690E-3i         0.000000000000000E0                               -4.064080496968252E-5-2.036253557515842E-4i
1.588900027400000E14                              1.412260642279579E0-1.300323949089977E-3i         0.000000000000000E0                               2.369354946985718E-4-4.063689975536855E-5i
1.588900027400000E14                              1.416622023290096E0-3.049119800877091E-4i         1.000000000000000E0                               5.925501005618112E-1+8.160801642252280E-2i
1.611384461750000E14                              1.408764076409200E0-2.146689406074536E-3i         0.000000000000000E0                               -1.165339585866764E-1-1.837990806187092E-2i
1.611384461750000E14                              1.409274237864254E0-2.179286167007827E-3i         0.000000000000000E0                               1.137449834647102E-1-3.291752176513791E-1i
1.611384461750000E14                              1.412853662668043E0-1.252008125493526E-3i         0.000000000000000E0                               -1.236046101163158E-4-1.278445306694986E-4i
1.611384461750000E14                              1.412893499198084E0-1.247540796787288E-3i         0.000000000000000E0                               -8.210920754384250E-5-2.134867266654544E-4i
1.611384461750000E14                              1.417177973602417E0-2.861813409473145E-4i         1.000000000000000E0                               5.990346264536222E-1+8.103894792876340E-2i
1.633868896100000E14                              1.409499788562475E0-2.059850826889850E-3i         0.000000000000000E0                               -1.085945223279035E-1-2.768043133488555E-2i
1.633868896100000E14                              1.410034270091017E0-2.086277855493822E-3i         0.000000000000000E0                               1.067510372744475E-1-3.357848592929910E-1i
1.633868896100000E14                              1.413464807261694E0-1.197750526600421E-3i         0.000000000000000E0                               -1.212114660262062E-4-7.265977761811756E-5i
1.633868896100000E14                              1.413508313637756E0-1.197214931621112E-3i         0.000000000000000E0                               -1.464922739535961E-5-1.822213877669895E-4i
1.633868896100000E14                              1.417719393066220E0-2.685971153514492E-4i         1.000000000000000E0                               6.058022709367472E-1+8.033706853795854E-2i
1.656353330450000E14                              1.410213226898700E0-1.985202768880236E-3i         0.000000000000000E0                               -9.410807364294456E-2-3.536628247313620E-2i
1.656353330450000E14                              1.410770207790626E0-1.992510592060972E-3i         0.000000000000000E0                               1.034673708363517E-1-3.424801327611658E-1i
1.656353330450000E14                              1.414062233057331E0-1.144680243254924E-3i         0.000000000000000E0                               2.127811465799215E-4+1.278204843557712E-4i
1.656353330450000E14                              1.414103690357887E0-1.150055324262947E-3i         0.000000000000000E0                               -3.230302258965057E-6-2.722417953201632E-4i
1.656353330450000E14                              1.418246547024559E0-2.519746136597886E-4i         1.000000000000000E0                               6.124022866167871E-1+8.019036678160035E-2i
1.678837764800000E14                              1.410902657222870E0-1.900615293016695E-3i         0.000000000000000E0                               -8.623510882193433E-2-3.286543331007526E-2i
1.678837764800000E14                              1.411508121004629E0-1.894232572700898E-3i         0.000000000000000E0                               1.133682759590401E-1-3.446220644962855E-1i
1.678837764800000E14                              1.414639852670572E0-1.100380676253552E-3i         0.000000000000000E0                               -1.921577892334207E-4+1.646321564494222E-4i
1.678837764800000E14                              1.414680642302461E0-1.109037626247777E-3i         0.000000000000000E0                               1.921049039956315E-4-1.154555705037517E-4i
1.678837764800000E14                              1.418760074172492E0-2.357843987591458E-4i         1.000000000000000E0                               6.193232144523575E-1+7.887160186927318E-2i
1.701322199150000E14                              1.411573079748797E0-1.830967890706725E-3i         0.000000000000000E0                               -7.966803572947198E-2-3.775300858120620E-2i
1.701322199150000E14                              1.412201816469790E0-1.816132667250318E-3i         0.000000000000000E0                               1.004134105740974E-1-3.511410263835960E-1i
1.701322199150000E14                              1.415202399218570E0-1.052523828438089E-3i         0.000000000000000E0                               -8.796905316752688E-5-1.273060534773209E-4i
1.701322199150000E14                              1.415246002089692E0-1.066063809050941E-3i         0.000000000000000E0                               2.579845838572909E-4-2.959508843671227E-4i
