% Model:              20240422_3B_SEM_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 25 2025, 17:57
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.498962290000000E14                              1.401115990654463E0-1.298577337975781E-3i         0.000000000000000E0                               5.892294567188806E-12                             4.352290424319730E-2-1.451992933691580E-2i
1.498962290000000E14                              1.401213963189088E0-1.299322879068774E-3i         0.000000000000000E0                               5.892294567188806E-12                             9.782410371467504E-3+7.173802057341715E-3i
1.498962290000000E14                              1.401630748920442E0-1.540067135305703E-3i         0.000000000000000E0                               5.892294567188806E-12                             -1.282142768276635E-1-1.417414422689010E-2i
1.498962290000000E14                              1.401767786581743E0-1.532764101397478E-3i         0.000000000000000E0                               5.892294567188806E-12                             -6.628539348821066E-2+8.305890816177870E-2i
1.498962290000000E14                              1.401961220859842E0-1.373550016306664E-3i         0.000000000000000E0                               5.892294567188806E-12                             -2.205386370373444E-1+1.003755950089297E-1i
1.498962290000000E14                              1.402074045795903E0-1.312811831146403E-3i         0.000000000000000E0                               5.892294567188806E-12                             -1.008021324802507E-1+1.917188784305588E-1i
1.498962290000000E14                              1.406707738444217E0-8.413505460678821E-4i         0.000000000000000E0                               5.892294567188806E-12                             -4.503965137450341E-3-1.398057278763080E-2i
1.498962290000000E14                              1.406814012152284E0-8.400927915603042E-4i         0.000000000000000E0                               5.892294567188806E-12                             7.811960852895817E-4-5.848902935667006E-3i
1.498962290000000E14                              1.407038437359550E0-8.167452417330756E-4i         0.000000000000000E0                               5.892294567188806E-12                             -6.746019079119313E-2+1.664905417917086E-1i
1.498962290000000E14                              1.407120469432047E0-8.190938655650500E-4i         0.000000000000000E0                               5.892294567188806E-12                             -1.133017603775999E-2-3.907482504734930E-3i
1.498962290000000E14                              1.410751046489316E0-1.361167421858469E-2i         0.000000000000000E0                               5.892294567188806E-12                             -1.230178196863453E-4-9.941034172249133E-5i
1.498962290000000E14                              1.412842431322988E0-1.522421928993745E-4i         1.000000000000000E0                               5.892294567188806E-12                             2.339883854821245E-1-5.834920017421685E-1i
1.498962290000000E14                              1.412925029440755E0-1.521501296965789E-4i         0.000000000000000E0                               5.892294567188806E-12                             9.225963900437366E-3-7.424391687837933E-2i
1.498962290000000E14                              1.414973745804374E0-1.407959821601896E-2i         0.000000000000000E0                               5.892294567188806E-12                             1.113933603180124E-6+6.806542078064434E-5i
1.498962290000000E14                              1.416037151719116E0-1.296869168956121E-2i         0.000000000000000E0                               5.892294567188806E-12                             6.512150240511548E-5-2.649150577180867E-4i
1.498962290000000E14                              1.416256523180508E0-1.294106922562010E-2i         0.000000000000000E0                               5.892294567188806E-12                             -6.735624073838004E-6-3.862385841597585E-5i
1.498962290000000E14                              1.416378351214669E0-1.333335641790007E-2i         0.000000000000000E0                               5.892294567188806E-12                             3.691120728746531E-5+2.470981113316123E-4i
1.498962290000000E14                              1.421048648361063E0-1.183276151318210E-2i         0.000000000000000E0                               5.892294567188806E-12                             -2.846281821157804E-5+3.598067320178683E-5i
1.498962290000000E14                              1.421181954363812E0-1.207402767038060E-2i         0.000000000000000E0                               5.892294567188806E-12                             5.078793977395171E-5-2.164007652151276E-5i
1.498962290000000E14                              1.421200096686189E0-1.217587771415999E-2i         0.000000000000000E0                               5.892294567188806E-12                             3.206467392173714E-5+4.981748824098453E-5i
1.521446724350000E14                              1.402009125626771E0-1.232324373734578E-3i         0.000000000000000E0                               5.892294567188806E-12                             4.228126249462638E-2+8.166782797505258E-4i
1.521446724350000E14                              1.402110487325152E0-1.232944698048256E-3i         0.000000000000000E0                               5.892294567188806E-12                             9.631371985194856E-3+5.692445508363633E-3i
1.521446724350000E14                              1.402521321272561E0-1.454558355131440E-3i         0.000000000000000E0                               5.892294567188806E-12                             -1.067909203882869E-1-4.858556252912692E-2i
1.521446724350000E14                              1.402634922183515E0-1.461191791761739E-3i         0.000000000000000E0                               5.892294567188806E-12                             3.843164532700494E-2+8.160850440415689E-2i
1.521446724350000E14                              1.402913810940711E0-1.294866350036816E-3i         0.000000000000000E0                               5.892294567188806E-12                             -2.366835054334287E-1+1.133504799554652E-1i
1.521446724350000E14                              1.403013739324633E0-1.242860390184282E-3i         0.000000000000000E0                               5.892294567188806E-12                             -1.426389371050547E-1+1.517242077115423E-1i
1.521446724350000E14                              1.407458353109252E0-8.003738812969991E-4i         0.000000000000000E0                               5.892294567188806E-12                             -3.193210208351324E-3-1.423784266344516E-2i
1.521446724350000E14                              1.407563577636312E0-7.981121265561009E-4i         0.000000000000000E0                               5.892294567188806E-12                             5.865111577450040E-4-5.596583611217552E-3i
1.521446724350000E14                              1.407795060378429E0-7.807684987128350E-4i         0.000000000000000E0                               5.892294567188806E-12                             -7.582576989791204E-2+1.658912508973850E-1i
1.521446724350000E14                              1.407876326015827E0-7.837144404046892E-4i         0.000000000000000E0                               5.892294567188806E-12                             -1.259100080619488E-2-3.223909733180640E-3i
1.521446724350000E14                              1.411901483565123E0-1.323963936321760E-2i         0.000000000000000E0                               5.892294567188806E-12                             -4.709784044764921E-5-2.666082201735722E-5i
