% Model:              20240422_3B_SEM_sweep_reduced.mph
% Version:            COMSOL 6.3.0.420
% Date:               Nov 26 2025, 14:18
% Table:              Table 1 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.498962290000000E14                              1.406814012152281E0-8.400927915651760E-4i         0.000000000000000E0                               5.892294567188700E-12                             7.811960849538150E-4-5.848902937074707E-3i
1.498962290000000E14                              1.407038437359549E0-8.167452417326071E-4i         0.000000000000000E0                               5.892294567188700E-12                             -6.746019081307952E-2+1.664905417809818E-1i
1.498962290000000E14                              1.407120469432043E0-8.190938655663340E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.133017603604620E-2-3.907482504026137E-3i
1.498962290000000E14                              1.412842431322988E0-1.522421928993739E-4i         1.000000000000000E0                               5.892294567188700E-12                             2.339883854842894E-1-5.834920017418233E-1i
1.498962290000000E14                              1.412925029440755E0-1.521501296965961E-4i         0.000000000000000E0                               5.892294567188700E-12                             9.225963899896949E-3-7.424391687385129E-2i
1.521446724350000E14                              1.407563577636343E0-7.981121265948935E-4i         0.000000000000000E0                               5.892294567188700E-12                             5.865111524256010E-4-5.596583621606645E-3i
1.521446724350000E14                              1.407795060378429E0-7.807684987150132E-4i         0.000000000000000E0                               5.892294567188700E-12                             -7.582576990572437E-2+1.658912508931344E-1i
1.521446724350000E14                              1.407876326015830E0-7.837144404025488E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.259100081214792E-2-3.223909726368303E-3i
1.521446724350000E14                              1.413500373705885E0-1.401675140694741E-4i         1.000000000000000E0                               5.892294567188700E-12                             2.885414144891233E-1-5.655082144091950E-1i
1.521446724350000E14                              1.413581120471005E0-1.400670740040929E-4i         0.000000000000000E0                               5.892294567188700E-12                             1.832011759589280E-3-8.143936091850432E-2i
1.543931158700000E14                              1.408287185043494E0-7.593722483584279E-4i         0.000000000000000E0                               5.892294567188700E-12                             -5.569749424898704E-4-4.623363490310066E-3i
1.543931158700000E14                              1.408527538810217E0-7.477882147288420E-4i         0.000000000000000E0                               5.892294567188700E-12                             -8.145773827085592E-2+1.664408764047647E-1i
1.543931158700000E14                              1.408608597115007E0-7.515836601224311E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.317162290275582E-2-2.206722824473256E-3i
1.543931158700000E14                              1.414135335940478E0-1.291857455183586E-4i         1.000000000000000E0                               5.892294567188700E-12                             2.622270838314484E-1-5.864290419556868E-1i
1.543931158700000E14                              1.414216488031126E0-1.290872326266148E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.189860769652711E-3-7.673668109753044E-2i
1.566415593050000E14                              1.408991091385126E0-7.232019693993697E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.131397035406973E-3-3.829025999465185E-3i
1.566415593050000E14                              1.409242513643794E0-7.168447347138878E-4i         0.000000000000000E0                               5.892294567188700E-12                             -8.846370914263825E-2+1.662482812877752E-1i
1.566415593050000E14                              1.409322144368917E0-7.210461152632355E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.496682678070300E-2-2.754660662310024E-3i
1.566415593050000E14                              1.414754729888885E0-1.191571882614329E-4i         1.000000000000000E0                               5.892294567188700E-12                             4.059485720594314E-1-5.063068697431943E-1i
1.566415593050000E14                              1.414834828626002E0-1.191364632001040E-4i         0.000000000000000E0                               5.892294567188700E-12                             -5.424870307143422E-3-7.813622783778640E-2i
1.588900027400000E14                              1.409675995487940E0-6.889167770731499E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.068922806724590E-3-3.047905006896633E-3i
1.588900027400000E14                              1.409931715409249E0-6.904965471438036E-4i         0.000000000000000E0                               5.892294567188700E-12                             -7.693869579429496E-2+1.753583743799503E-1i
1.588900027400000E14                              1.410015216859772E0-6.898742502232199E-4i         0.000000000000000E0                               5.892294567188700E-12                             -8.766913418006770E-3+7.167159534839275E-3i
1.588900027400000E14                              1.415355574300492E0-1.101983207854776E-4i         1.000000000000000E0                               5.892294567188700E-12                             3.983433530207237E-1-5.206678877383497E-1i
1.588900027400000E14                              1.415434249542727E0-1.096148066240593E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.005274280971502E-2-7.836477938957176E-2i
1.611384461750000E14                              1.410337795209948E0-6.563364924157452E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.196709063627870E-3-2.319986919660433E-3i
1.611384461750000E14                              1.410604234075492E0-6.629395398868958E-4i         0.000000000000000E0                               5.892294567188700E-12                             -8.078206697840412E-2+1.768064663103440E-1i
1.611384461750000E14                              1.410686990301964E0-6.631462959778474E-4i         0.000000000000000E0                               5.892294567188700E-12                             -1.004356438396064E-2+6.963144421337019E-3i
1.611384461750000E14                              1.415939212661418E0-1.016579924379005E-4i         1.000000000000000E0                               5.892294567188700E-12                             2.516579452173250E-1-6.130113891667044E-1i
1.611384461750000E14                              1.416017880240888E0-1.011082666618120E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.101912148046215E-2-7.317108897165489E-2i
1.633868896100000E14                              1.410982167728381E0-6.248951533218579E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.440727727678220E-3-2.020734003888491E-3i
1.633868896100000E14                              1.411259894479203E0-6.335526429851675E-4i         0.000000000000000E0                               5.892294567188700E-12                             -9.738417256630640E-2+1.702422348572243E-1i
1.633868896100000E14                              1.411335021020960E0-6.416941183450325E-4i         0.000000000000000E0                               5.892294567188700E-12                             -2.520933142712777E-2+6.802774997905861E-3i
