% Model:              20240422_3B_ideal_sweep.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jan 14 2026, 18:43
% Table:              Table 2 - 
% freq                                            neff                                              mode_overlap                                      A_eff                                             overlap
1.498962290000000E14                              1.401474050979319E0-2.473262776274096E-3i         0.000000000000000E0                               2.283666477825812E-10                             -1.097525029465580E-1-1.359395428923700E-2i
1.498962290000000E14                              1.402112390322828E0-2.489373695090008E-3i         0.000000000000000E0                               1.508122578962506E-10                             1.392168485207135E-1-3.235378535530563E-1i
1.498962290000000E14                              1.406225417438705E0-1.449975185090738E-3i         0.000000000000000E0                               1.747394815781515E-10                             3.764341021293080E-4+5.577920944177127E-5i
1.498962290000000E14                              1.406270292470740E0-1.451336284215120E-3i         0.000000000000000E0                               1.757493790670498E-10                             -1.398257286703224E-4+1.715899494057904E-4i
1.498962290000000E14                              1.411268640762770E0-3.276320246743217E-4i         1.000000000000000E0                               4.768308271030159E-11                             5.712784865283576E-1+7.423739635287507E-2i
1.521446724350000E14                              1.402378414492556E0-2.366895175419923E-3i         0.000000000000000E0                               2.297894845532262E-10                             -9.867493259241902E-2-2.552003127725706E-2i
1.521446724350000E14                              1.403043604576743E0-2.378017040849216E-3i         0.000000000000000E0                               1.471041669664306E-10                             1.238485258326578E-1-3.346688527171267E-1i
1.521446724350000E14                              1.406971790119240E0-1.379543630422156E-3i         0.000000000000000E0                               1.711393414488692E-10                             4.468126928533435E-4-2.256670954117206E-4i
1.521446724350000E14                              1.407018995525043E0-1.388004882330506E-3i         0.000000000000000E0                               1.728315597115442E-10                             -1.294136035092950E-4+1.369214534799857E-4i
1.521446724350000E14                              1.411928864679894E0-3.055206789075828E-4i         1.000000000000000E0                               4.600603935125746E-11                             5.787918817048396E-1+7.261994162390156E-2i
1.543931158700000E14                              1.403262096408452E0-2.283498243827345E-3i         0.000000000000000E0                               2.324133528016350E-10                             -9.906619735538919E-2-4.287981055284446E-2i
1.543931158700000E14                              1.403919302047598E0-2.306674544912365E-3i         0.000000000000000E0                               1.498737544079274E-10                             8.238989420121276E-2-3.452966527175047E-1i
1.543931158700000E14                              1.407690529401426E0-1.307581425654462E-3i         0.000000000000000E0                               1.662077901795111E-10                             3.154317871135213E-4-4.385771711582375E-5i
1.543931158700000E14                              1.407746528116604E0-1.322894027112578E-3i         0.000000000000000E0                               1.685563628737761E-10                             1.084654306093456E-4+8.209634580624144E-5i
1.543931158700000E14                              1.412570870446007E0-2.852107736143439E-4i         1.000000000000000E0                               4.440263152517106E-11                             5.860656386568626E-1+7.249394180308807E-2i
1.566415593050000E14                              1.404095374931102E0-2.197200528808507E-3i         0.000000000000000E0                               2.319333506523546E-10                             -8.403173265514668E-2-5.054497825270184E-2i
1.566415593050000E14                              1.404789058465597E0-2.189652130936602E-3i         0.000000000000000E0                               1.437891050527158E-10                             8.024445792883876E-2-3.515663476662317E-1i
1.566415593050000E14                              1.408395282967241E0-1.245762672330219E-3i         0.000000000000000E0                               1.637924394807495E-10                             -2.158036505047010E-4+6.051399735626276E-5i
1.566415593050000E14                              1.408449263346917E0-1.266711727877088E-3i         0.000000000000000E0                               1.667187622607343E-10                             3.133229043998461E-4+1.987882983425415E-4i
1.566415593050000E14                              1.413193989696386E0-2.659701871632694E-4i         1.000000000000000E0                               4.279915699651159E-11                             5.934513252606853E-1+7.268992265312063E-2i
1.588900027400000E14                              1.404905740096299E0-2.116237997535493E-3i         0.000000000000000E0                               2.284559253176264E-10                             -7.489115505832110E-2-5.191946580503326E-2i
1.588900027400000E14                              1.405635732296026E0-2.086789714294131E-3i         0.000000000000000E0                               1.391140462691828E-10                             5.806667171676864E-2-3.597289655979994E-1i
1.588900027400000E14                              1.409078460831881E0-1.186505225270832E-3i         0.000000000000000E0                               1.604351527791245E-10                             3.019220071165255E-4-8.237872953227844E-5i
1.588900027400000E14                              1.409130541183461E0-1.213211250427215E-3i         0.000000000000000E0                               1.638441323867365E-10                             1.603049134348322E-4+1.518660145993410E-4i
1.588900027400000E14                              1.413800604778754E0-2.476836017250039E-4i         1.000000000000000E0                               4.123441096821209E-11                             6.012031253093417E-1+7.060062655406266E-2i
1.611384461750000E14                              1.405685024586503E0-2.041107446281751E-3i         0.000000000000000E0                               2.257595073435884E-10                             -6.250477644210359E-2-5.641765488881476E-2i
1.611384461750000E14                              1.406454820288964E0-1.984357398809347E-3i         0.000000000000000E0                               1.341144987592725E-10                             5.956771812652757E-2-3.634399176685657E-1i
1.611384461750000E14                              1.409743464507363E0-1.130422704733036E-3i         0.000000000000000E0                               1.576267748738529E-10                             2.895396104766216E-4+2.902976398500719E-5i
1.611384461750000E14                              1.409793127644416E0-1.164427772051472E-3i         0.000000000000000E0                               1.616847984369982E-10                             1.392773950627734E-4+2.745437381877067E-4i
1.611384461750000E14                              1.414391354570602E0-2.306372004112409E-4i         1.000000000000000E0                               3.970819500152258E-11                             6.086570292560103E-1+7.141575447829258E-2i
1.633868896100000E14                              1.406449322221455E0-1.953276230467959E-3i         0.000000000000000E0                               2.252283932885385E-10                             -5.682190025273158E-2-5.390770215234808E-2i
